Title,Duration,Upload Date,Views,URL
30 - Minute Intermediate / Advanced Vinyasa Yoga Class for Balance.,32:54,2024-11-03,443,https://www.youtube.com/watch?v=ca1Fy8wbtkI
"45 - Minute Slow + Supported ""Finding Your Most Authentic Self"" Flow: Great for the Fall Season.",49:34,2024-10-27,241,https://www.youtube.com/watch?v=F0VFLgkgr8o
"Flowwmix Vol. 4 | Music for cozy, warm Fall Vibes.",31:11,2024-10-20,168,https://www.youtube.com/watch?v=Wqtg8VSs3tE
22 - Minute Intermediate / Advanced Vinyasa Yoga Class | Building Heat for Fall.,23:49,2024-10-13,650,https://www.youtube.com/watch?v=tTf85U3i338
25 - Minute Slow + Supported Full Body Yoga Class : Great for the morning and evening.,27:31,2024-10-06,278,https://www.youtube.com/watch?v=OEh9Hd8zq90
A Week In My Life as a Full Time Yoga Teacher / Educator,16:43,2024-09-29,195,https://www.youtube.com/watch?v=mSgkZeSOoFk
"30 - Minute Slow + Supported Yoga for Anxiety: Slow Stretches, deep breathing + affirming language.",32:41,2024-09-22,403,https://www.youtube.com/watch?v=Lc7_uv4jJN0
Back to School Yoga Series | 4 Classes to Get Back into Your Yoga Flow (Ep.4),21:37,2024-09-07,187,https://www.youtube.com/watch?v=KxWCOf0lMQo
Back to School Yoga Series | 4 Classes to Get Back into Your Yoga Flow (Ep.3),19:13,2024-09-05,147,https://www.youtube.com/watch?v=r4Cext2Cf1I
Back to School Yoga Series | 4 Classes to Get Back into Your Yoga Flow (Ep. 2),19:04,2024-09-03,165,https://www.youtube.com/watch?v=iMCN9ryhe2A
Back to School Yoga Series | 4 Classes to Get Back into Your Yoga Flow (Ep.1),27:12,2024-09-01,195,https://www.youtube.com/watch?v=VgHAmMx0eaU
"VLOG | spend a productive day with me. Meetings, coffee shop, editing and cooking dinner.",9:12,2024-08-25,126,https://www.youtube.com/watch?v=MAf808uAL2w
15 Minute Intermediate / Advanced Vinyasa Yoga Class | Full Body w/ Creative Transitions,17:37,2024-08-18,227,https://www.youtube.com/watch?v=2Ztbnm_kIQ8
3 Things I Wish I Knew Before Becoming a Yoga Teacher: Tips for Yoga Instructors (Pt.2),8:49,2024-08-11,162,https://www.youtube.com/watch?v=le5_xLdrqwk
30 Minute Intermediate / Advanced Vinyasa Yoga Class | Focusing on Twists and Binds,35:50,2024-08-04,519,https://www.youtube.com/watch?v=ZrGNYMSanO4
3 Things I Wish I Knew Before Becoming a Yoga Teacher: Tips for Yoga Instructors (Pt.1),10:36,2024-07-28,189,https://www.youtube.com/watch?v=Mnt--ApFiyo
Floww Mix Vol. 3 | Chill Summer Vibes To Unwind. (Lofi / Instrumentals),32:40,2024-07-21,265,https://www.youtube.com/watch?v=NRFH1yyYvOA
20 - Minute Slow + Supported Relaxing Yoga for Travelers: Slow Stretches to Unwind and Rejuvenate.,22:44,2024-07-14,230,https://www.youtube.com/watch?v=pyXDUPlCIno
25 - Minute Intermediate / Advanced Vinyasa Yoga Class | Yoga for finding Summer Joy.,24:37,2024-07-07,565,https://www.youtube.com/watch?v=TYF2oOw6yCY
25 - Minute Intermediate / Advanced Vinyasa Yoga Class | A Creative and Fun Class.,26:51,2024-06-16,299,https://www.youtube.com/watch?v=3xQuMDOawSg
20 - Minute Morning Movement | Yoga for a Slow Morning,21:16,2024-06-09,572,https://www.youtube.com/watch?v=3TPtU6WVhF4
Floww Mix Vol. 2 | Music to feel deeply. (Instrumentals),33:36,2024-06-02,189,https://www.youtube.com/watch?v=Ol4vWXXZ19Y
Flowwj0 x lululemon Giveaway | Intermediate / Advanced Vinyasa Yoga Class | Eagle x Crow Pose CLOSED,24:03,2024-05-26,423,https://www.youtube.com/watch?v=dfulTpZort4
20 - Minute Intermediate / Advanced Vinyasa Yoga Class | Yoga Class Focused on Birds of Paradise.,23:47,2024-05-19,875,https://www.youtube.com/watch?v=qGLdxMGm8j0
25 - Minute Intermediate / Advanced Vinyasa Yoga Class | Yoga Class Focused on Hamstring and Quads,24:33,2024-05-03,535,https://www.youtube.com/watch?v=2tz1qjju8Tc
35 - Minute Slow + Supported Yoga Flow for Stress Relief | Yoga Class with Blocks,38:26,2024-04-26,208,https://www.youtube.com/watch?v=TlwAden5Ey4
25 Minute Flow + Rest |  Intermediate / Advanced Vinyasa Yoga Flow + Restorative Class,28:10,2024-04-19,505,https://www.youtube.com/watch?v=5Bg0yx_lMWU
Yoga Talks | Understanding the different types of yoga!,24:05,2024-04-10,498,https://www.youtube.com/watch?v=XLgjwQ8cbVc
10 Minute Morning Movement | Low Back Yoga Class,11:27,2024-04-05,258,https://www.youtube.com/watch?v=n7_DehMaQhk
"Floww Mix Vol. 1 | Music to move, study, vibe and most importantly, music to flow. (Instrumentals)",45:40,2024-04-05,290,https://www.youtube.com/watch?v=ZWKkefTzZgw
10 Minute Morning Movement | Hips Class,12:26,2024-03-29,315,https://www.youtube.com/watch?v=wEXQ64RIgJs
"VLOG | Home life, plant shopping and shooting yoga classes.",8:48,2024-03-25,94,https://www.youtube.com/watch?v=sk9UzvGlXaQ
10 Minute Morning Movement | Full Body Yoga Class,12:13,2024-03-22,456,https://www.youtube.com/watch?v=xpNOsy9cbyw
30 Minute Flow + Rest | Intermediate / Advanced Vinyasa Yoga Flow + Restorative Class,30:19,2024-03-15,585,https://www.youtube.com/watch?v=es21DGOQlVY
35 Minute Intermediate / Advanced Vinyasa Yoga Flow | Improv,37:36,2024-03-08,"1,239",https://www.youtube.com/watch?v=9CNCbmUPzpY
I’m leading a Yoga Workshop on March 23rd + 24th powered by @lululemon | I’d love to see you there,2:06,2024-03-06,103,https://www.youtube.com/watch?v=E4xQjbBFfbc
25 Minute Slow + Supported Full Body Yoga Flow,27:05,2024-03-01,414,https://www.youtube.com/watch?v=Z4dlh3z5CPQ
20 Minute Intermediate / Advanced Vinyasa Yoga Flow | Crown Chakra,22:11,2024-02-23,408,https://www.youtube.com/watch?v=GIDsGwLuqus
VLOG | I went to visit my sister at her college for the day!,8:34,2024-02-19,69,https://www.youtube.com/watch?v=1V_Y7t3bPi4
New Offering | LIVE 30 Minute Stretch Sessions - 1:1 via Zoom!!,2:32,2024-02-17,76,https://www.youtube.com/watch?v=YOoeY5IjZfE
30 Minute Intermediate / Advanced Vinyasa Yoga Flow | Third Eye Chakra,35:39,2024-02-16,329,https://www.youtube.com/watch?v=YVRFsm2aees
25 Minute Intermediate / Advanced Vinyasa Yoga Flow | Throat Chakra,31:21,2024-02-09,464,https://www.youtube.com/watch?v=mO4rfXdMV0E
30 Minute Intermediate / Advanced Vinyasa Yoga Flow | Heart Chakra,31:30,2024-02-02,"2,041",https://www.youtube.com/watch?v=cOBJLQuaFtI
30 Minute Intermediate / Advanced Vinyasa Yoga Flow | Solar Plexus Chakra,32:30,2024-01-26,"1,592",https://www.youtube.com/watch?v=PUcqCreYvB8
VLOG | A few days in my life as a full time yoga teacher / educator + lululemon ambassador!,11:51,2024-01-23,142,https://www.youtube.com/watch?v=LbQhhcy9GUU
25 Minute Intermediate / Advanced Vinyasa Yoga Flow | Sacral Chakra,25:18,2024-01-19,"2,468",https://www.youtube.com/watch?v=kmuGzX7CfdA
15 Minute Intermediate / Advanced Sun Salutation A Yoga Variations,15:19,2024-01-12,520,https://www.youtube.com/watch?v=Y3SzhmjRFR4
Welcome to the #FlowFamily - My name is Jo Murdock and this is Yoga with Flowwj0!,1:08,2024-01-05,500,https://www.youtube.com/watch?v=aYp7dcMD_-A
25 Minute Intermediate / Advanced Vinyasa Yoga Flow | Root Chakra,25:04,2024-01-05,"1,460",https://www.youtube.com/watch?v=DOA0UNHCPmQ
25 Minute Intermediate Vinyasa Yoga Flow,28:47,2023-12-22,800,https://www.youtube.com/watch?v=nxktyfVTW1I
15 Minute Slow + Supported Yoga Flow for when you're not feeling your best AKA Sick!,18:34,2023-12-15,240,https://www.youtube.com/watch?v=GBDlV5EfyO0
15 Minutes Butt / Booty Focused Barre Burn Class,15:57,2023-12-08,268,https://www.youtube.com/watch?v=PSPPiF6lHpE
30 Minute Slow + Supported Yoga Flow w/ Strap,31:23,2023-12-01,352,https://www.youtube.com/watch?v=yMI9Xn5n10s
20 Minute Intermediate Vinyasa Yoga Flow,25:13,2023-11-19,"2,248",https://www.youtube.com/watch?v=wgszyQev9Qg
10 Minute Good Morning Affirming Flow!,12:31,2023-11-10,363,https://www.youtube.com/watch?v=izWhFoVyN8E
10 Minute Legs Focused Barre Burn Class,12:18,2023-11-03,286,https://www.youtube.com/watch?v=BeCkKssYQ_U
12 Minute Intermediate Vinyasa Yoga Flow (ep.3),13:06,2023-10-27,291,https://www.youtube.com/watch?v=mPPmjQsMhMA
20 Minute Slow + Supported Yoga Flow w/ Wheel,19:58,2023-10-20,159,https://www.youtube.com/watch?v=4r-jMfgP6XY
13 Minute Full Body Barre Burn Class,15:17,2023-10-13,679,https://www.youtube.com/watch?v=OyT-fpKCTYw
30 Minute Intermediate Vinyasa Yoga Flow (ep.2),28:56,2023-10-06,877,https://www.youtube.com/watch?v=7i87er-B_W8
25 Minute Slow + Supported Yoga Flow,26:16,2023-09-29,251,https://www.youtube.com/watch?v=dlAHYCrea0o
30 Minute Intermediate Vinyasa Yoga Flow (ep.1),30:57,2023-09-22,"4,081",https://www.youtube.com/watch?v=bff0e1tM2XI
Yoga For Beginners Ep. 5,22:39,2023-09-15,171,https://www.youtube.com/watch?v=8eRnDq-I3rg
"Yoga Flow | flowwj0 x lululemon align bodysuit 6"" giveaway! *CLOSED*",18:04,2023-09-08,108,https://www.youtube.com/watch?v=JFcYcgxtbwE
Yoga For Beginners Ep.4,19:17,2023-07-21,125,https://www.youtube.com/watch?v=4mqm_6-SRrU
Yoga For Beginners Ep. 3,22:13,2023-07-07,158,https://www.youtube.com/watch?v=7MRix6TGrE4
Yoga for Beginners Ep.2,12:28,2023-06-17,288,https://www.youtube.com/watch?v=W9B6pvAhowc
Yoga for Beginners Ep. 1,24:17,2023-06-11,562,https://www.youtube.com/watch?v=aPMQ1bOsAW0
"VLOG | I went to Europe! Zurich, Milano and Venice!",12:39,2023-05-29,114,https://www.youtube.com/watch?v=0Iv-6NqNhCs
Full Moon in Scorpio Yoga Class,30:19,2023-05-05,76,https://www.youtube.com/watch?v=jOHnRc1WCi8
Saturday Reset with me!,7:42,2023-04-21,126,https://www.youtube.com/watch?v=ZypAcYMP99o
Full Moon in Libra Yoga Class,31:38,2023-04-05,95,https://www.youtube.com/watch?v=iuLj55znMMw
VLOG | Prepping for another filming week with Lululemon Studio!,12:09,2023-03-12,113,https://www.youtube.com/watch?v=CJbWDA5NrPo
Full Moon in Virgo Yoga Class,34:17,2023-03-05,71,https://www.youtube.com/watch?v=9qpOLafJ4To
Vinyasas Yoga Flow | Full Body Class,26:24,2023-02-26,569,https://www.youtube.com/watch?v=CdIjaQpu0Rs
My Yoga Room Tour + Lululemon Unboxing,15:24,2023-02-12,211,https://www.youtube.com/watch?v=q-QBvNSDxXU
Full Moon in Leo Yoga Class,29:34,2023-02-05,81,https://www.youtube.com/watch?v=qloAUQiO6bc
"VLOG | A Visual Diary | Let's clean, cook and self care.",6:30,2023-01-29,132,https://www.youtube.com/watch?v=TVOvojA_nWc
Slow Yoga Flow | 15 minute Full Body Class,17:45,2023-01-15,247,https://www.youtube.com/watch?v=kynZstQxnRM
Vlog | A Visual Diary | Manifesting my best year yet!,9:36,2023-01-15,117,https://www.youtube.com/watch?v=ZoA2jv7Pyeg
Vlog | A Visual Diary | Preparing for the New Year!,13:33,2023-01-08,97,https://www.youtube.com/watch?v=pHMRko8XB-8
Full Moon in Cancer Yoga Class,29:22,2023-01-08,80,https://www.youtube.com/watch?v=ucB_zm8SKCo
VLOGMAS | Some organizing and prepping for 2023!,8:40,2022-12-19,71,https://www.youtube.com/watch?v=SP_XbYsgcsY
VLOGMAS | A few days in my life as a yoga teacher!,18:02,2022-12-11,119,https://www.youtube.com/watch?v=Y1b-U6erd6g
VLOG | A few days in my life + @lululemonstudio,8:25,2022-10-28,158,https://www.youtube.com/watch?v=mEZH2kWbvy0
VLOG | Let's catch up! I'm a Lululemon Studio Instructor now!,4:12,2022-10-13,121,https://www.youtube.com/watch?v=6DyHsv-e-gs
VLOG | Tulum Mexico Birthday Trip 2022,13:02,2022-09-05,148,https://www.youtube.com/watch?v=vH1RcnbDSpQ
VLOG | A week in my life: Summer starts and I'm stretching my ears and doing a haul.,15:19,2022-07-03,148,https://www.youtube.com/watch?v=6lrxx7di9GI
Vinyasa Yoga Flow | No Hands Class for Sensitive Wrists,16:36,2022-05-19,178,https://www.youtube.com/watch?v=HZQi4t8V1nk
VLOG | Day In The Life of a Yoga Teacher: Private Yoga Event with Brooks Running!,22:53,2022-05-16,496,https://www.youtube.com/watch?v=tC05QrP0ZtU
Slow Yoga Flow | Internal + External Floor Work. Great morning class or mid-day pick me up!,13:35,2022-05-06,178,https://www.youtube.com/watch?v=3tx990odShM
VLOG | Day in the Life of a YOGA TEACHER!,13:17,2022-05-02,"6,070",https://www.youtube.com/watch?v=tqXnQ-zHLBg
VLOG | A week in my life with three fur babies!,6:17,2022-04-17,62,https://www.youtube.com/watch?v=NatgBD1NbiE
VLOG | I led my first Yoga Teacher Training - FLY 25hr,15:11,2022-04-10,105,https://www.youtube.com/watch?v=vtnIlLzhVyA
VLOG | A little bit of everything + seeing my Y7 Family in real life!,13:50,2022-04-03,98,https://www.youtube.com/watch?v=J1yDc6wu7Tk
I'm a Black Creative - Here are my wellness offerings!,2:58,2022-03-24,60,https://www.youtube.com/watch?v=s13UXcekayc
Tattoo Tour!,3:53,2022-03-13,380,https://www.youtube.com/watch?v=mSv8pdpqEFA
Slow Yoga Flow | Twists,35:43,2022-03-11,186,https://www.youtube.com/watch?v=aHTQRK80NAQ
"VLOG | Baby sister came to visit, dinner in the city + more yoga!",13:02,2022-03-06,79,https://www.youtube.com/watch?v=g9vGtnbni6I
VLOG | Another yoga shoot + new camera - SONY ZV1!,16:11,2022-02-27,202,https://www.youtube.com/watch?v=1gI-bGX7SZg
Vinyasa Yoga Flow | Prep for Crow Pose,44:30,2022-02-25,282,https://www.youtube.com/watch?v=qyyhz7NYyoE
VLOG | Black Mat Yoga + Lululemon Event + Yoga Studio Decor!,12:33,2022-02-13,110,https://www.youtube.com/watch?v=OvaYjtswf6U
Spicy Variation | Sun Salutation A + B,11:51,2022-02-10,161,https://www.youtube.com/watch?v=xaJNMxaWWDA
Slow Yoga Flow | Deep Stretching,32:57,2022-02-03,179,https://www.youtube.com/watch?v=kpMD6DKjL1A
Yoga For Strong Knees,16:11,2022-01-28,73,https://www.youtube.com/watch?v=ijTELR8Ylew
How to Prepare for Meditation | Quick Yoga stretches + Seating options!,19:52,2022-01-14,62,https://www.youtube.com/watch?v=ioW1MOm6eyw
Vinyasa Yoga Flow | Full Body Class,31:27,2022-01-05,124,https://www.youtube.com/watch?v=ddsXcunsr6Y
Slow Yoga Flow | Full Body Opening,32:54,2022-01-05,76,https://www.youtube.com/watch?v=63o0zb1XkXU
15 Minute Yoga Flow for PMS,16:06,2021-09-17,67,https://www.youtube.com/watch?v=To5c6HxfSTc
30 min Core Focused Power Vinyasa,31:30,2021-06-23,266,https://www.youtube.com/watch?v=KQT7xLm29VE
#Throwback | T-twists Yoga Class,59:41,2021-06-09,176,https://www.youtube.com/watch?v=NPY2yxor0Qc
#Throwback | Birds of Paradise Yoga Class,55:22,2021-05-26,158,https://www.youtube.com/watch?v=2rAJ8XSAcuw
Beginners Yoga Class with Blocks,24:48,2021-05-12,134,https://www.youtube.com/watch?v=AIvGHVmV9p8
#ThrowBack | Barre Booty Burn,31:01,2021-04-21,160,https://www.youtube.com/watch?v=fkSyU5AMwd8
15 Minute WFH Barre Burn,15:54,2021-04-07,136,https://www.youtube.com/watch?v=oLgZNu4wPhg
Fire Yoga Flow: Stoke your flame and stand in your power!,25:24,2021-03-31,171,https://www.youtube.com/watch?v=rvO21zFN5U8
Air Yoga Flow: Feeling and creating space with the element of air!,24:40,2021-03-24,402,https://www.youtube.com/watch?v=W_C3GzjrPMs
Water Yoga Flow: Finding fluidity and freedom through movement,21:42,2021-03-17,157,https://www.youtube.com/watch?v=afD4BLd2UhY
Earth Yoga Flow: Grounding and connecting with the element of earth!,24:34,2021-03-10,304,https://www.youtube.com/watch?v=_44Y1u2daE8
Yoga Talks | Yoga and Intimacy!,5:30,2021-03-03,109,https://www.youtube.com/watch?v=QzZBju0uDes
30 min Full Body Stretch Yoga Flow,25:17,2021-02-24,116,https://www.youtube.com/watch?v=eFgMCRCZqJs
Welcome to Yoga With Flowwj0!,33,2021-02-19,493,https://www.youtube.com/watch?v=6TtCDPpOwrU
Seven Days of Self Love Yoga | Day 7 Full Body Vinyasa,33:19,2021-02-14,95,https://www.youtube.com/watch?v=t-V4a-adPxc
Seven Days of Self Love Yoga | Day 6 Feet,10:43,2021-02-12,29,https://www.youtube.com/watch?v=8K7Y08O2RiA
Seven Days of Self Love Yoga | Day 5 Legs,8:09,2021-02-10,20,https://www.youtube.com/watch?v=maU8ZDZJZOY
Seven Days of Self Love Yoga | Day 4 Hips,9:37,2021-02-08,33,https://www.youtube.com/watch?v=M2Kh4-Y7AWc
Seven Days of Self Love Yoga | Day 3 Side Body,9:04,2021-02-06,44,https://www.youtube.com/watch?v=JV60YzuO6Fs
Seven Days of Self Love Yoga | Day 2 Shoulders,7:01,2021-02-04,59,https://www.youtube.com/watch?v=vtapgAOM37g
Seven Days of Self Love Yoga | Day 1 Head and Neck,8:59,2021-02-02,160,https://www.youtube.com/watch?v=WO5KZ7bYpS0
15 min Yoga For Shoulders,15:39,2021-01-27,104,https://www.youtube.com/watch?v=BpSyFpfrg5c
Build Heat - Side Body Burn Yoga Flow,30:13,2021-01-20,147,https://www.youtube.com/watch?v=jeDWuZzbDNA
15 min Yoga For Hips + Hamstrings,17:27,2021-01-13,84,https://www.youtube.com/watch?v=U9GdWzf92-k
New Year's Barre Burn Workout: Full Class!,39:22,2021-01-06,128,https://www.youtube.com/watch?v=W0MWmIo1dNA
New Year's Barre Burn Workout: Butt,10:51,2021-01-04,79,https://www.youtube.com/watch?v=TdRbKLUun3s
New Year's Barre Burn Workout: Arms,9:50,2021-01-03,87,https://www.youtube.com/watch?v=MY2IxSHloqw
New Year's Barre Burn Workout: Core,9:26,2021-01-02,92,https://www.youtube.com/watch?v=ty54iC4Yzwg
New Year's Barre Burn Workout: Thighs,10:09,2021-01-01,71,https://www.youtube.com/watch?v=_4oTONwb_6o
Yoga Basics For Beginners | Pt. 2,32:55,2020-12-30,107,https://www.youtube.com/watch?v=c8OZUaz_7_0
Floww To Bed - Yoga Before Bed,14:50,2020-12-23,101,https://www.youtube.com/watch?v=AdfdV9jVkaA
Grand Rising - Morning Yoga Flow,15:23,2020-12-16,246,https://www.youtube.com/watch?v=LvxfXLImkK8
m00nfloww | BARRE MEETS YOGA,29:43,2020-12-09,69,https://www.youtube.com/watch?v=dUSJbJz6stw
Yoga Basics For Beginners | Pt. 1,46:52,2020-11-25,152,https://www.youtube.com/watch?v=nIleZ2QF1II
30 min Yoga Flow To Center + Ground The Mind + Body,30:09,2020-11-18,141,https://www.youtube.com/watch?v=uOf3PK_Nxvc
m00nfloww | FULL BODY BALANCE,28:32,2020-11-11,68,https://www.youtube.com/watch?v=sLQtomeO42M
30 min Barre Burn Workout,27:54,2020-11-07,188,https://www.youtube.com/watch?v=HMejIyXCdhM
Quick 15 min Yoga Class To Get You Moving,15:20,2020-11-04,192,https://www.youtube.com/watch?v=sWj_kCqD6YA
m00nfloww | TUNE IN + TURN UP,30:27,2020-10-28,69,https://www.youtube.com/watch?v=hEhh5PiK6EA
Full Yoga Flow Focused On Twists + Hips,42:59,2020-10-17,320,https://www.youtube.com/watch?v=V-3q2S9uWC0
m00nfloww | BUILD SOME HEAT,33:02,2020-10-17,87,https://www.youtube.com/watch?v=VbHe4ePaIO8
m00nfloww Yoga Flow | IM A WARRIOR BABY,30:31,2020-10-17,70,https://www.youtube.com/watch?v=eGYjyvbEgOg
